Month,Employee_Num,Enroll_Num,Dismiss_Num,PositionChange_Num,SalaryAdjust_Num,RecuitPlan_Num,Workload_Amount
2019/01,670,4,5,3,3,15,351
2019/02,669,3,1,1,7,19,360
2019/03,671,1,4,9,6,6,369
2019/04,668,9,0,1,7,7,402
2019/05,677,2,3,0,1,4,353
2019/06,676,2,3,1,8,16,387
2019/07,675,5,1,1,4,16,372
2019/08,679,6,5,8,3,16,391
2019/09,680,4,0,5,5,18,365
2019/10,684,1,2,3,8,8,363
2019/11,683,6,4,6,5,1,409
2019/12,685,6,1,7,6,7,411
2020/01,690,8,2,2,10,8,453
2020/02,696,3,2,4,9,14,465
2020/03,697,3,0,1,2,17,408
2020/04,700,0,5,10,4,20,398
2020/05,695,6,0,0,6,1,370
2020/06,701,2,4,8,1,3,354
2020/07,699,1,3,10,7,18,388
2020/08,697,6,2,10,9,8,425
2020/09,701,8,2,9,9,13,452
2020/10,707,9,3,0,10,1,437
